date,hospital,gender,age_group,review,sentiment
2025-04-08,مجمع الأمل الصحي,ذكر,26-35,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-02-26,مستشفى المدينة الطبية,أنثى,36-50,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2024-12-25,عيادات الهدى التخصصية,ذكر,26-35,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-01-28,مستشفى الرحمة العام,ذكر,26-35,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-03-17,مستشفى المدينة الطبية,أنثى,51+,الموعد تم في وقته، لكن شعرت أن الفحص كان سريعًا أكثر من اللازم.,neutral
2025-04-15,مركز الشفاء الطبي,أنثى,18-25,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2024-12-09,مستشفى الرحمة العام,أنثى,36-50,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-01-10,مستشفى الرحمة العام,ذكر,51+,الخدمة كانت فوق التوقعات. تم إجراء العملية بنجاح تام، والطبيب كان يتابع حالتي باستمرار بعد العملية. شعرت بالأمان والاهتمام في كل لحظة.,extremely_positive
2024-12-04,مستشفى الرحمة العام,ذكر,51+,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2025-03-02,مستشفى المدينة الطبية,أنثى,26-35,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2025-03-22,مركز الشفاء الطبي,أنثى,51+,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2025-04-21,مستشفى المدينة الطبية,ذكر,51+,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2025-01-14,مستشفى المدينة الطبية,ذكر,18-25,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-04-17,مجمع الأمل الصحي,أنثى,51+,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2025-01-12,مركز الشفاء الطبي,أنثى,26-35,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-04-23,مجمع الأمل الصحي,ذكر,18-25,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2025-02-11,مستشفى الحياة,ذكر,51+,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-03-10,مستشفى الرحمة العام,ذكر,36-50,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-05-03,مركز الشفاء الطبي,ذكر,18-25,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-01-02,مركز الشفاء الطبي,ذكر,36-50,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
2025-04-04,مركز الشفاء الطبي,أنثى,18-25,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2025-03-21,مستشفى الحياة,أنثى,26-35,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2025-03-25,عيادات الهدى التخصصية,ذكر,26-35,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-04-16,مستشفى الحياة,ذكر,51+,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2025-04-01,عيادات الهدى التخصصية,أنثى,26-35,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-04-02,مجمع الأمل الصحي,ذكر,26-35,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-05-04,مستشفى المدينة الطبية,أنثى,26-35,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2024-12-23,مستشفى المدينة الطبية,ذكر,36-50,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2025-05-26,مجمع الأمل الصحي,ذكر,26-35,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2025-05-14,مستشفى الحياة,ذكر,26-35,شعرت أنني مجرد رقم في النظام. لا يوجد أي نوع من التعاطف أو التوضيح.,extremely_negative
2025-04-24,مستشفى الحياة,أنثى,18-25,الإجراءات كانت فوضوية، والطبيب كان قاسيًا في التعامل ولم يشرح شيئًا.,extremely_negative
2025-05-25,عيادات الهدى التخصصية,أنثى,26-35,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-05-30,مركز الشفاء الطبي,أنثى,36-50,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-01-24,عيادات الهدى التخصصية,أنثى,36-50,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2025-01-17,عيادات الهدى التخصصية,أنثى,18-25,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-02-03,مجمع الأمل الصحي,ذكر,26-35,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-05-18,مركز الشفاء الطبي,أنثى,18-25,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-03-05,مستشفى الحياة,ذكر,36-50,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-01-26,مجمع الأمل الصحي,أنثى,18-25,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2024-12-13,مستشفى الحياة,أنثى,51+,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2024-12-11,مجمع الأمل الصحي,ذكر,26-35,الموعد تم في وقته، لكن شعرت أن الفحص كان سريعًا أكثر من اللازم.,neutral
2025-02-26,مجمع الأمل الصحي,أنثى,51+,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2024-12-19,عيادات الهدى التخصصية,أنثى,51+,الموعد تم في وقته، ولكن لم أشعر بالاهتمام الكامل.,normal
2025-02-18,عيادات الهدى التخصصية,ذكر,18-25,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-01-27,عيادات الهدى التخصصية,ذكر,18-25,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-01-05,مستشفى الحياة,ذكر,18-25,الخدمة لا بأس بها، لكن لا يوجد اهتمام خاص.,neutral
2025-04-20,مجمع الأمل الصحي,أنثى,36-50,الخدمة كانت فوق التوقعات. تم إجراء العملية بنجاح تام، والطبيب كان يتابع حالتي باستمرار بعد العملية. شعرت بالأمان والاهتمام في كل لحظة.,extremely_positive
2025-03-25,مستشفى المدينة الطبية,أنثى,26-35,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-02-25,مستشفى الرحمة العام,أنثى,51+,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-05-24,مستشفى المدينة الطبية,ذكر,18-25,العيادة كانت مزدحمة نوعًا ما، لكن الخدمة كانت مقبولة.,neutral
2025-05-04,مجمع الأمل الصحي,أنثى,18-25,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2024-12-25,مستشفى الرحمة العام,أنثى,51+,المكان غير نظيف، والانتظار غير مبرر، وغياب التنسيق واضح.,extremely_negative
2025-01-23,مجمع الأمل الصحي,أنثى,36-50,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2025-03-27,مستشفى الرحمة العام,أنثى,51+,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-05-08,مركز الشفاء الطبي,أنثى,26-35,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2025-03-19,مستشفى الحياة,ذكر,36-50,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-01-11,مستشفى الحياة,أنثى,51+,الخدمة كانت فوق التوقعات. تم إجراء العملية بنجاح تام، والطبيب كان يتابع حالتي باستمرار بعد العملية. شعرت بالأمان والاهتمام في كل لحظة.,extremely_positive
2025-04-07,مستشفى المدينة الطبية,أنثى,51+,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2024-12-24,مستشفى الحياة,أنثى,51+,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-04-04,عيادات الهدى التخصصية,ذكر,36-50,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-03-04,مستشفى المدينة الطبية,أنثى,36-50,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2024-12-14,مستشفى الرحمة العام,ذكر,36-50,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2025-05-31,مستشفى المدينة الطبية,ذكر,18-25,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2024-12-29,مستشفى المدينة الطبية,أنثى,26-35,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2025-05-13,مجمع الأمل الصحي,أنثى,26-35,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2024-12-26,مستشفى المدينة الطبية,ذكر,26-35,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-01-08,مستشفى الحياة,أنثى,36-50,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-03-13,مجمع الأمل الصحي,ذكر,51+,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2025-03-25,مستشفى الحياة,أنثى,51+,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-02-25,مجمع الأمل الصحي,أنثى,36-50,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2025-05-19,مجمع الأمل الصحي,ذكر,26-35,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-02-12,مستشفى الرحمة العام,أنثى,26-35,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-04-15,مركز الشفاء الطبي,أنثى,51+,الخدمة كانت فوق التوقعات. تم إجراء العملية بنجاح تام، والطبيب كان يتابع حالتي باستمرار بعد العملية. شعرت بالأمان والاهتمام في كل لحظة.,extremely_positive
2024-12-11,مجمع الأمل الصحي,ذكر,36-50,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-01-27,مركز الشفاء الطبي,أنثى,36-50,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-04-08,مستشفى الرحمة العام,أنثى,18-25,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-02-28,مستشفى المدينة الطبية,ذكر,51+,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2025-02-18,مستشفى المدينة الطبية,ذكر,51+,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-01-24,عيادات الهدى التخصصية,أنثى,26-35,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-01-30,مركز الشفاء الطبي,ذكر,26-35,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-04-09,مستشفى الحياة,ذكر,18-25,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2025-02-02,مجمع الأمل الصحي,ذكر,36-50,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-04-26,مستشفى المدينة الطبية,ذكر,18-25,الزيارة كانت روتينية، لم ألاحظ شيئًا مميزًا أو سيئًا.,neutral
2025-03-18,مستشفى المدينة الطبية,ذكر,51+,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2025-05-04,مستشفى الحياة,أنثى,36-50,الخدمة لا بأس بها، لكن لا يوجد اهتمام خاص.,neutral
2025-02-09,مركز الشفاء الطبي,ذكر,18-25,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2024-12-08,مستشفى الحياة,ذكر,36-50,الخدمة لا بأس بها، لكن لا يوجد اهتمام خاص.,neutral
2025-03-27,مستشفى الرحمة العام,أنثى,36-50,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2024-12-28,مجمع الأمل الصحي,أنثى,36-50,المكان غير نظيف، والانتظار غير مبرر، وغياب التنسيق واضح.,extremely_negative
2025-03-22,مركز الشفاء الطبي,أنثى,51+,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-04-22,مستشفى المدينة الطبية,أنثى,51+,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2024-12-19,عيادات الهدى التخصصية,أنثى,18-25,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-01-09,مستشفى الحياة,ذكر,18-25,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-05-10,مستشفى المدينة الطبية,ذكر,51+,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-03-19,عيادات الهدى التخصصية,أنثى,51+,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-04-02,مجمع الأمل الصحي,أنثى,51+,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-03-19,مركز الشفاء الطبي,ذكر,18-25,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-03-29,مستشفى المدينة الطبية,ذكر,26-35,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-03-06,مستشفى المدينة الطبية,ذكر,36-50,العيادة كانت مزدحمة نوعًا ما، لكن الخدمة كانت مقبولة.,neutral
2025-04-18,مستشفى المدينة الطبية,ذكر,36-50,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-01-05,مستشفى المدينة الطبية,أنثى,18-25,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-01-16,عيادات الهدى التخصصية,أنثى,36-50,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2025-05-03,مركز الشفاء الطبي,ذكر,36-50,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2024-12-19,مستشفى الرحمة العام,ذكر,18-25,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2024-12-23,مركز الشفاء الطبي,أنثى,26-35,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-01-28,مستشفى الرحمة العام,ذكر,26-35,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-02-13,مستشفى الرحمة العام,ذكر,18-25,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-04-03,مستشفى الرحمة العام,أنثى,36-50,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-03-31,مستشفى الحياة,ذكر,51+,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-04-13,مستشفى الحياة,ذكر,26-35,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-04-13,مستشفى المدينة الطبية,أنثى,26-35,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-01-01,مجمع الأمل الصحي,ذكر,18-25,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-04-08,مجمع الأمل الصحي,أنثى,51+,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2024-12-19,مستشفى الحياة,ذكر,18-25,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2024-12-30,مركز الشفاء الطبي,ذكر,51+,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2025-03-13,مستشفى الحياة,أنثى,18-25,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2025-02-11,عيادات الهدى التخصصية,أنثى,36-50,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2025-04-22,مركز الشفاء الطبي,ذكر,18-25,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2024-12-07,مستشفى المدينة الطبية,ذكر,36-50,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-01-17,مجمع الأمل الصحي,ذكر,36-50,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2025-04-29,مستشفى المدينة الطبية,أنثى,51+,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2025-01-16,مركز الشفاء الطبي,ذكر,26-35,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2024-12-25,مستشفى الرحمة العام,ذكر,36-50,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
2025-05-22,مستشفى المدينة الطبية,ذكر,51+,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2024-12-22,عيادات الهدى التخصصية,ذكر,18-25,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-03-12,مستشفى الحياة,أنثى,36-50,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-05-01,مستشفى الحياة,أنثى,26-35,الموعد تم في وقته، لكن شعرت أن الفحص كان سريعًا أكثر من اللازم.,neutral
2024-12-21,مستشفى الرحمة العام,أنثى,18-25,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2025-04-25,عيادات الهدى التخصصية,أنثى,36-50,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2024-12-09,مجمع الأمل الصحي,أنثى,51+,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-03-30,مستشفى المدينة الطبية,أنثى,18-25,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2024-12-27,مركز الشفاء الطبي,ذكر,18-25,الموعد تم في وقته، ولكن لم أشعر بالاهتمام الكامل.,normal
2025-05-31,مستشفى الحياة,أنثى,51+,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-02-22,مجمع الأمل الصحي,ذكر,51+,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
