date,gender,age_group,hospital,review,sentiment
2025-01-23,ذكر,60+,عيادات الأمل,الدكتور كان مستعجل وما فسر لي حالتي. أتمنى يحسنون من مستوى الخدمات.,negative
2024-08-11,ذكر,36-45,مجمع السلام الطبي,المكان جيد نوعًا ما. راجعت عندهم أكثر من مرة.,neutral
2025-03-07,ذكر,18-25,عيادات الأمل,الموعد كان في وقته بس ما حصلت فائدة. تعاملهم يختلف من شخص لشخص.,neutral
2024-10-14,أنثى,60+,مركز الحياة الطبي,تحسنت حالتي بشكل ملحوظ بعد الزيارة. أتمنى يحسنون من مستوى الخدمات.,positive
2025-01-14,أنثى,18-25,مركز الحياة الطبي,الخدمة ممتازة والدكتور كان محترم جدًا. تعاملهم يختلف من شخص لشخص.,positive
2025-03-26,أنثى,36-45,مستشفى النور,الدكتور كان مستعجل وما فسر لي حالتي. أتمنى يحسنون من مستوى الخدمات.,negative
2025-02-05,أنثى,36-45,عيادات الأمل,ما أنصح أحد يراجع عندهم. أتمنى يحسنون من مستوى الخدمات.,negative
2024-07-29,ذكر,26-35,مستشفى الهدى,المكان نظيف والتعامل راقي جدًا. التجربة كانت مختلفة عن توقعي.,positive
2024-06-16,ذكر,26-35,مستشفى النور,الدكتور كان مستعجل وما فسر لي حالتي. بشكل عام ممكن أرجع لهم.,negative
2024-12-04,أنثى,60+,عيادات الأمل,الدكتور شرح لي بس ما حسيت براحة. التجربة كانت مختلفة عن توقعي.,neutral
2024-08-30,ذكر,46-60,مستشفى الشفاء,ما حسيت بأي فرق بعد العلاج. تعاملهم يختلف من شخص لشخص.,negative
2024-11-06,أنثى,26-35,مستشفى الشفاء,انتظرت كثير ولا أحد عبرني. التجربة كانت مختلفة عن توقعي.,negative
2024-09-15,أنثى,36-45,مجمع السلام الطبي,المكان غير نظيف والتعامل سيء. بشكل عام ممكن أرجع لهم.,negative
2024-06-09,ذكر,36-45,مستشفى الشفاء,المكان جيد نوعًا ما. بشكل عام ممكن أرجع لهم.,neutral
2024-08-29,أنثى,36-45,مستشفى الشفاء,انتظرت كثير ولا أحد عبرني. راجعت عندهم أكثر من مرة.,negative
2024-09-08,ذكر,60+,مركز الحياة الطبي,تحسنت حالتي بشكل ملحوظ بعد الزيارة. تعاملهم يختلف من شخص لشخص.,positive
2024-10-07,ذكر,60+,مستشفى الهدى,الموعد كان في وقته بس ما حصلت فائدة. تعاملهم يختلف من شخص لشخص.,neutral
2024-09-28,ذكر,46-60,عيادات الأمل,المكان جيد نوعًا ما. راجعت عندهم أكثر من مرة.,neutral
2024-10-10,أنثى,26-35,مستشفى الشفاء,الخدمة عادية ما كانت ممتازة ولا سيئة. راجعت عندهم أكثر من مرة.,neutral
2024-11-24,أنثى,60+,عيادات الأمل,تحسنت حالتي بشكل ملحوظ بعد الزيارة. بشكل عام ممكن أرجع لهم.,positive
2025-01-31,أنثى,26-35,مستشفى الهدى,المكان غير نظيف والتعامل سيء. التجربة كانت مختلفة عن توقعي.,negative
2024-11-10,أنثى,36-45,مركز الحياة الطبي,الدكتور شرح لي بس ما حسيت براحة. راجعت عندهم أكثر من مرة.,neutral
2025-04-17,أنثى,46-60,عيادات الأمل,الخدمة ممتازة والدكتور كان محترم جدًا. أتمنى يحسنون من مستوى الخدمات.,positive
2024-11-12,أنثى,60+,عيادات الأمل,المكان جيد نوعًا ما. التجربة كانت مختلفة عن توقعي.,neutral
2024-06-21,أنثى,26-35,مجمع السلام الطبي,ما حسيت بأي فرق بعد العلاج. التجربة كانت مختلفة عن توقعي.,negative
2024-06-15,أنثى,36-45,عيادات الأمل,الموعد كان في وقته بس ما حصلت فائدة. التجربة كانت مختلفة عن توقعي.,neutral
2025-03-01,ذكر,36-45,مستشفى النور,تحسنت حالتي بشكل ملحوظ بعد الزيارة. تعاملهم يختلف من شخص لشخص.,positive
2024-11-07,أنثى,46-60,مستشفى الشفاء,ما أنصح أحد يراجع عندهم. بشكل عام ممكن أرجع لهم.,negative
2025-03-11,أنثى,36-45,مجمع السلام الطبي,الخدمة ممتازة والدكتور كان محترم جدًا. راجعت عندهم أكثر من مرة.,positive
2025-06-05,ذكر,36-45,عيادات الأمل,الزيارة كانت متوسطة ما فيها شيء مميز. بشكل عام ممكن أرجع لهم.,neutral
2024-07-04,أنثى,60+,مستشفى الهدى,الخدمة عادية ما كانت ممتازة ولا سيئة. تعاملهم يختلف من شخص لشخص.,neutral
2024-11-24,أنثى,26-35,مستشفى الهدى,الدكتور شرح لي بس ما حسيت براحة. أتمنى يحسنون من مستوى الخدمات.,neutral
2024-11-16,أنثى,36-45,مجمع السلام الطبي,المكان غير نظيف والتعامل سيء. تعاملهم يختلف من شخص لشخص.,negative
2024-11-12,أنثى,26-35,مجمع السلام الطبي,استقبلوني بسرعة والممرضات كانوا متعاونين. التجربة كانت مختلفة عن توقعي.,positive
2025-01-17,ذكر,18-25,مستشفى النور,استقبلوني بسرعة والممرضات كانوا متعاونين. تعاملهم يختلف من شخص لشخص.,positive
2025-03-19,ذكر,46-60,مجمع السلام الطبي,الزيارة كانت متوسطة ما فيها شيء مميز. بشكل عام ممكن أرجع لهم.,neutral
