date,gender,age_group,health_facility,review,sentiment
2025-05-20,أنثى,60+,مستشفى الحياة,الخدمة كانت ممتازة والدكتور كان في قمة الاحترام والاحترافية، حسيت بتحسن كبير بعد الزيارة. التجربة كانت غير متوقعة وتعلمت منها الكثير.,positive
2025-01-26,ذكر,60+,مستشفى النور,الأطباء كانوا متعاونين جدًا وشرحوا لي حالتي بالتفصيل، الحمد لله تحسنت صحتي. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
2025-01-16,ذكر,60+,مركز الشفاء الطبي,الموعد كان في وقته بس ما حسيت براحة تامة. المكان يحتاج لبعض التعديلات في التنظيم.,neutral
2024-06-11,أنثى,36-45,مستشفى النور,زرت العيادة وما صار شيء مميز، كانت تجربة متوسطة. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,neutral
2024-12-26,ذكر,36-45,مستشفى الحياة,المكان جيد لكن في أشياء تحتاج لتحسين. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,neutral
2025-03-08,ذكر,60+,مستشفى الحياة,انتظرت وقت طويل وما أحد اهتم فيني، تجربة سيئة. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,negative
2025-05-13,ذكر,18-25,مستشفى النور,الاستقبال كان سريع والممرضات كانوا بشوشين، تجربة جداً رائعة. التجربة كانت غير متوقعة وتعلمت منها الكثير.,positive
2024-12-13,أنثى,46-60,مستشفى النور,الموعد كان في وقته بس ما حسيت براحة تامة. التجربة كانت غير متوقعة وتعلمت منها الكثير.,neutral
2025-04-25,أنثى,60+,مركز الأمل,الدكتور ما كان مهتم، حسيت اني مجرد رقم. التجربة كانت غير متوقعة وتعلمت منها الكثير.,negative
2024-12-28,ذكر,36-45,مركز الشفاء الطبي,الاستقبال كان سريع والممرضات كانوا بشوشين، تجربة جداً رائعة. التجربة كانت غير متوقعة وتعلمت منها الكثير.,positive
2024-08-16,أنثى,46-60,عيادات الهدى,انتظرت وقت طويل وما أحد اهتم فيني، تجربة سيئة. المكان يحتاج لبعض التعديلات في التنظيم.,negative
2025-04-24,أنثى,36-45,مستشفى النور,الدكتور كان واضح لكن ما حسيت بفرق كبير. التجربة كانت غير متوقعة وتعلمت منها الكثير.,neutral
2024-08-30,أنثى,36-45,مستشفى الحياة,المكان غير نظيف والتعامل بارد من الطاقم. جربت أكثر من دكتور لكن هذا كان مختلف.,negative
2025-04-24,أنثى,60+,عيادات الهدى,المستشفى نظيف جدًا والتعامل راقي، حسيت كأني في فندق خمس نجوم. استمريت على الخطة العلاجية لفترة طويلة.,positive
2024-10-10,ذكر,18-25,مستشفى السلام,الاستقبال كان سريع والممرضات كانوا بشوشين، تجربة جداً رائعة. جربت أكثر من دكتور لكن هذا كان مختلف.,positive
2025-03-18,أنثى,18-25,مستشفى السلام,العيادة مرتبة والمواعيد كانت دقيقة، أشكرهم على اهتمامهم. التجربة كانت غير متوقعة وتعلمت منها الكثير.,positive
2025-04-01,ذكر,18-25,مركز الشفاء الطبي,المكان غير نظيف والتعامل بارد من الطاقم. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,negative
2024-09-04,أنثى,18-25,مستشفى النور,الخدمة كانت ممتازة والدكتور كان في قمة الاحترام والاحترافية، حسيت بتحسن كبير بعد الزيارة. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
2025-01-18,أنثى,36-45,مركز الأمل,الموعد كان في وقته بس ما حسيت براحة تامة. استمريت على الخطة العلاجية لفترة طويلة.,neutral
2025-04-20,ذكر,60+,مستشفى الحياة,الاستقبال كان سريع والممرضات كانوا بشوشين، تجربة جداً رائعة. استمريت على الخطة العلاجية لفترة طويلة.,positive
2024-08-05,ذكر,46-60,مركز الشفاء الطبي,العيادة مرتبة والمواعيد كانت دقيقة، أشكرهم على اهتمامهم. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
2024-06-20,أنثى,60+,عيادات الهدى,المكان جيد لكن في أشياء تحتاج لتحسين. المكان يحتاج لبعض التعديلات في التنظيم.,neutral
2024-10-31,أنثى,18-25,مستشفى الحياة,الموعد تأخر وما أحد اعتذر، ما راح أرجع لهم. استمريت على الخطة العلاجية لفترة طويلة.,negative
2025-01-15,أنثى,36-45,مركز الشفاء الطبي,المكان غير نظيف والتعامل بارد من الطاقم. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,negative
2024-12-18,ذكر,46-60,مستشفى النور,المستشفى نظيف جدًا والتعامل راقي، حسيت كأني في فندق خمس نجوم. التجربة كانت غير متوقعة وتعلمت منها الكثير.,positive
2025-02-19,أنثى,26-35,مستشفى الحياة,العيادة مرتبة والمواعيد كانت دقيقة، أشكرهم على اهتمامهم. التجربة كانت غير متوقعة وتعلمت منها الكثير.,positive
2025-01-22,أنثى,60+,مركز الأمل,زرت العيادة وما صار شيء مميز، كانت تجربة متوسطة. التجربة كانت غير متوقعة وتعلمت منها الكثير.,neutral
2025-01-28,ذكر,18-25,مركز الأمل,الأطباء كانوا متعاونين جدًا وشرحوا لي حالتي بالتفصيل، الحمد لله تحسنت صحتي. المكان يحتاج لبعض التعديلات في التنظيم.,positive
2024-06-28,أنثى,46-60,مركز الأمل,الخدمة كانت عادية، لا ممتازة ولا سيئة. جربت أكثر من دكتور لكن هذا كان مختلف.,neutral
2025-01-27,ذكر,18-25,مستشفى الحياة,العيادة مرتبة والمواعيد كانت دقيقة، أشكرهم على اهتمامهم. جربت أكثر من دكتور لكن هذا كان مختلف.,positive
2024-11-26,أنثى,60+,مستشفى السلام,المستشفى نظيف جدًا والتعامل راقي، حسيت كأني في فندق خمس نجوم. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
2025-02-01,ذكر,18-25,مركز الشفاء الطبي,المكان غير نظيف والتعامل بارد من الطاقم. المكان يحتاج لبعض التعديلات في التنظيم.,negative
2025-06-04,أنثى,36-45,مركز الأمل,زرت العيادة وما صار شيء مميز، كانت تجربة متوسطة. المكان يحتاج لبعض التعديلات في التنظيم.,neutral
2025-05-16,أنثى,18-25,مستشفى النور,ما حصلت أي فائدة من العلاج، للأسف ما أنصح بالمكان. استمريت على الخطة العلاجية لفترة طويلة.,negative
2024-06-12,أنثى,46-60,مستشفى السلام,الدكتور كان واضح لكن ما حسيت بفرق كبير. استمريت على الخطة العلاجية لفترة طويلة.,neutral
2024-12-26,أنثى,60+,مستشفى النور,المكان غير نظيف والتعامل بارد من الطاقم. جربت أكثر من دكتور لكن هذا كان مختلف.,negative
2025-05-16,ذكر,26-35,عيادات الهدى,زرت العيادة وما صار شيء مميز، كانت تجربة متوسطة. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,neutral
2024-10-27,أنثى,60+,عيادات الهدى,الموعد تأخر وما أحد اعتذر، ما راح أرجع لهم. التجربة كانت غير متوقعة وتعلمت منها الكثير.,negative
2024-09-22,أنثى,26-35,مركز الأمل,انتظرت وقت طويل وما أحد اهتم فيني، تجربة سيئة. التجربة كانت غير متوقعة وتعلمت منها الكثير.,negative
2025-02-08,ذكر,46-60,مركز الأمل,المكان جيد لكن في أشياء تحتاج لتحسين. التجربة كانت غير متوقعة وتعلمت منها الكثير.,neutral
2025-04-02,ذكر,18-25,مركز الشفاء الطبي,ما حصلت أي فائدة من العلاج، للأسف ما أنصح بالمكان. التجربة كانت غير متوقعة وتعلمت منها الكثير.,negative
2025-03-29,ذكر,46-60,عيادات الهدى,الخدمة كانت عادية، لا ممتازة ولا سيئة. التجربة كانت غير متوقعة وتعلمت منها الكثير.,neutral
2025-03-22,ذكر,26-35,مركز الأمل,الموعد تأخر وما أحد اعتذر، ما راح أرجع لهم. المكان يحتاج لبعض التعديلات في التنظيم.,negative
2024-11-09,أنثى,60+,مستشفى السلام,المكان جيد لكن في أشياء تحتاج لتحسين. استمريت على الخطة العلاجية لفترة طويلة.,neutral
2025-02-11,ذكر,18-25,مستشفى السلام,الخدمة كانت ممتازة والدكتور كان في قمة الاحترام والاحترافية، حسيت بتحسن كبير بعد الزيارة. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
2025-05-02,ذكر,26-35,مستشفى الحياة,المكان جيد لكن في أشياء تحتاج لتحسين. جربت أكثر من دكتور لكن هذا كان مختلف.,neutral
2025-03-11,ذكر,18-25,مستشفى السلام,الخدمة كانت ممتازة والدكتور كان في قمة الاحترام والاحترافية، حسيت بتحسن كبير بعد الزيارة. استمريت على الخطة العلاجية لفترة طويلة.,positive
2025-05-22,أنثى,60+,مستشفى السلام,الدكتور ما كان مهتم، حسيت اني مجرد رقم. استمريت على الخطة العلاجية لفترة طويلة.,negative
